Id,redfin_url,redfin_value,status,fetched_at
10396002,https://www.redfin.com/MI/Birmingham/1331-Cedar-Dr-48009/home/59333662,1129386,ok,2026-05-25T16:54:46.0830453Z
10398476,https://www.redfin.com/MI/Birmingham/475-Tooting-Ln-48009/home/61255359,3262906,ok,2026-05-25T16:54:47.4724574Z
10412346,https://www.redfin.com/MI/Birmingham/1836-Humphrey-Ave-48009/home/61221910,483962,ok,2026-05-25T16:54:51.4122729Z
10453978,https://www.redfin.com/MI/Birmingham/1563-Cheltenham-Rd-48009/home/61211315,526437,ok,2026-05-25T16:54:51.4837061Z
10453987,https://www.redfin.com/MI/Birmingham/1989-Webster-St-48009/home/60993653,1042600,ok,2026-05-25T16:54:57.0978175Z
10464795,https://www.redfin.com/MI/Birmingham/1809-Holland-St-48009/home/61287249,816963,ok,2026-05-25T16:54:57.2717295Z
10464796,https://www.redfin.com/MI/Birmingham/1736-Croft-Rd-48009/home/61197908,642089,ok,2026-05-25T16:55:02.8352088Z
10464798,https://www.redfin.com/MI/Birmingham/1716-E-Melton-Rd-48009/home/80579650,390199,ok,2026-05-25T16:55:03.3158302Z
10464799,https://www.redfin.com/MI/Birmingham/1638-Hanley-Ct-48009/home/61210047,634802,ok,2026-05-25T16:55:08.2762454Z
10464846,https://www.redfin.com/MI/Birmingham/1339-Cole-St-48009/home/61049287,413049,ok,2026-05-25T16:55:08.8216427Z
10464847,https://www.redfin.com/MI/Birmingham/1459-Chapin-Ave-48009/home/61189026,449763,ok,2026-05-25T16:55:13.6977004Z
10464849,https://www.redfin.com/MI/Birmingham/1773-Taunton-Rd-48009/home/61309405,394245,ok,2026-05-25T16:55:14.2059903Z
10479348,https://www.redfin.com/MI/Birmingham/1859-Henrietta-St-48009/home/61221948,1635064,ok,2026-05-25T16:55:19.4037412Z
10491908,https://www.redfin.com/MI/Birmingham/2754-Dorchester-Rd-48009/home/61221818,501814,ok,2026-05-25T16:55:19.9674318Z
10519253,https://www.redfin.com/MI/Birmingham/1376-Bennaville-Ave-48009/home/61119520,890393,ok,2026-05-25T16:55:25.4083226Z
10519473,https://www.redfin.com/MI/Birmingham/815-Rivenoak-St-48009/home/99202922,1727147,ok,2026-05-25T16:55:26.0350171Z
10522972,https://www.redfin.com/MI/Birmingham/837-Shepardbush-St-48009/home/61254567,1001275,ok,2026-05-25T16:55:31.2255647Z
10543497,https://www.redfin.com/MI/Birmingham/1636-Derby-Rd-48009/home/99213755,2119631,ok,2026-05-25T16:55:31.5922928Z
10586816,https://www.redfin.com/MI/Birmingham/1748-Banbury-St-48009/home/61183346,1759688,ok,2026-05-25T16:55:37.0259049Z
10598032,https://www.redfin.com/MI/Birmingham/1425-Chapin-Ave-48009/home/61306106,677983,ok,2026-05-25T16:55:37.5235121Z
10600236,https://www.redfin.com/MI/Birmingham/1456-Ruffner-Ave-48009/home/99214823,1055055,ok,2026-05-25T16:55:42.2847021Z
